x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanAllObsAttacks,upAllObsAttacks,lowAllObsAttacks,meanCapacityLie,upCapacityLie,lowCapacityLie,meanDemandLie,upDemandLie,lowDemandLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie,meanObsNoise,upObsNoise,lowObsNoise,meanUserDirLie,upUserDirLie,lowUserDirLie
191,10373292.67,14861367.581970112,5885217.758029887,8184725.16,12155958.796210188,4213491.523789813,10209114.26,14549599.931347255,5868628.588652746,10350775.18,14837168.783504065,5864381.576495935,10373292.67,14861367.581970112,5885217.758029887,9284009.73,13495167.44336328,5072852.016636723,8577464.78,12739871.11430071,4415058.4456992885
201,4316975.65,6642532.525032524,1991418.7749674763,2736051.84,4324291.38651488,1147812.2934851202,4035828.81,6331198.028891686,1740459.5911083138,4295192.32,6621416.615679765,1968968.024320235,4318314.28,6643656.185637367,1992972.3743626336,3641117.26,5723756.592676864,1558477.9273231358,3151424.02,4974453.549591446,1328394.4904085533
211,4367060.9,6693559.334425206,2040562.4655747944,3215658.48,4896323.118989692,1534993.8410103081,4250769.94,6414605.075123695,2086934.804876306,4359418.11,6680639.811528177,2038196.4084718237,4351263.82,6673599.727937199,2028927.9120628014,3220376.54,4845876.296513667,1594876.7834863332,3626101.7,5349323.5562822465,1902879.8437177544
221,4748231.46,7071471.700421735,2424991.219578265,3550415.38,5171875.128973379,1928955.631026621,4580983.84,6698520.524588255,2463447.155411745,4834136.48,7184759.085469448,2483513.874530553,4744764.24,7068478.594145528,2421049.8858544724,3950049.93,5839791.482096683,2060308.3779033166,3964862.63,5839928.9257804975,2089796.3342195025
231,5251327.45,7384272.8945141975,3118382.0054858034,3793330.79,5502845.614159866,2083815.9658401338,5212893.86,7288851.991339831,3136935.72866017,5259870.3,7398317.9352035355,3121422.664796464,5191252.6,7309374.554804283,3073130.645195716,4654290.16,6660815.269123893,2647765.0508761075,4436614.86,6223970.710888745,2649259.0091112554
241,6164264.34,8928284.404110359,3400244.275889641,4516523.93,6752677.650427172,2280370.209572828,6475731.83,9270672.60401396,3680791.0559860384,5960036.14,8606026.931232085,3314045.348767914,6153353.46,8923254.74907768,3383452.17092232,5566468.72,7997984.725992795,3134952.7140072044,5826781.87,8571981.046353398,3081582.693646602
251,5614749.33,8003387.73663648,3226110.9233635203,4085688.45,5850148.051197782,2321228.848802218,6223606.4,8816116.788227566,3631096.011772434,5344571.37,7572711.431936188,3116431.3080638126,5671627.29,8070798.618968457,3272455.9610315426,5359326.07,7634113.101990579,3084539.038009422,4684206.28,7039001.076859539,2329411.483140461
261,6780676.33,9786444.445008472,3774908.214991529,5494781.98,8106063.9542904105,2883500.00570959,6904446.04,9998784.093587335,3810107.986412665,6604659.46,9593607.121617679,3615711.798382322,6719171.41,9717641.966721334,3720700.853278666,5596756.45,8116289.641486758,3077223.2585132425,5288676.47,7940688.629965513,2636664.3100344865
271,5919746.16,8326669.524452326,3512822.7955476744,4274565.91,6004446.40696955,2544685.41303045,5659147.62,8029105.529505142,3289189.710494858,5438021.65,7715279.9676211495,3160763.3323788512,5935912.52,8352480.220976394,3519344.819023605,5214019.34,7402312.773670464,3025725.906329536,5309619.14,8097346.642421035,2521891.6375789647
281,6408755.78,9588741.184213784,3228770.375786217,5774494.97,8877750.32826216,2671239.61173784,6333636.04,9464474.032993853,3202798.047006146,6285346.03,9427286.69335366,3143405.3666463397,6208373.28,9320448.218586361,3096298.3414136395,6269170.26,9493941.583844353,3044398.9361556466,6248155.64,9299348.837767763,3196962.4422322363
291,7421566.59,10785185.407645876,4057947.7723541246,6313785.84,9304513.133092873,3323058.546907128,7741419.27,11063953.020761244,4418885.519238756,7351357.24,10694069.626456346,4008644.853543655,7295617.23,10617975.56707323,3973258.8929267707,6606457.75,9478803.804954585,3734111.6950454153,7193340.58,10363619.194036273,4023061.965963727
301,7507190.75,10823313.155028125,4191068.3449718747,5714188.2,8218538.973132569,3209837.4268674315,7691502.78,10946122.023182064,4436883.536817936,7484666.23,10796838.078747984,4172494.3812520173,7548979.55,10937514.84828706,4160444.251712939,6596133.59,8939919.927363781,4252347.252636218,6601769.02,9411373.351138486,3792164.6888615135
311,7828103.9,10992699.079253715,4663508.720746286,7190621.73,10270937.354825836,4110306.1051741643,8587724.61,11913677.680248065,5261771.539751934,7639762.17,10763601.36482445,4515922.97517555,7677530.55,10817188.67411053,4537872.42588947,7718072.67,10439614.489690844,4996530.850309155,7355846.84,10460890.488171007,4250803.191828991
321,8347244.57,11912924.253136996,4781564.8868630035,7065618.9,9981573.386301413,4149664.413698587,9106136.89,12766364.266909894,5445909.5130901085,8498217.32,12129693.191021537,4866741.448978463,8527823.62,12150296.279215772,4905350.960784227,8483630.67,11224736.861917168,5742524.478082833,7766693.02,10900280.93653734,4633105.103462659
331,7850312.16,11442382.273632104,4258242.046367897,7054923.33,10057866.861325223,4051979.7986747776,8799549.98,12465173.922343493,5133926.037656509,7844687.9,11439326.947433304,4250048.852566696,7893619.57,11486072.338168552,4301166.801831448,8704750.73,12026619.413141921,5382882.046858081,7259680.09,10406563.94894643,4112796.2310535708
341,8195949.75,11924070.437653229,4467829.06234677,7665832.74,11259004.051777143,4072661.428222857,8607737.02,12435328.507762779,4780145.532237221,8124235.06,11841079.003782544,4407391.116217455,8018062.8,11734519.86667594,4301605.733324061,8388673.71,11868439.639729703,4908907.780270299,8171658.28,11766754.859274808,4576561.700725192
351,8206123.48,11974364.905120956,4437882.054879045,7631778.45,10858508.078113247,4405048.821886755,8855360.54,12759339.346403655,4951381.7335963445,8078279.42,11820236.939593364,4336321.900406635,8251279.48,12023125.030244336,4479433.929755666,9208382.92,12790853.28871638,5625912.551283621,7725314.36,11068709.818843722,4381918.901156279
361,8857456.79,12780267.418960385,4934646.161039614,8587803.39,12464140.652287036,4711466.127712965,9559819.17,13617373.757742232,5502264.582257768,8771145.44,12687279.397428717,4855011.482571281,8882329.95,12804246.88750703,4960413.012492968,10781034.16,14713909.822117716,6848158.497882284,8852647.54,12730492.148431048,4974802.9315689495
371,8350609.28,11744803.709060214,4956414.850939786,7771212.29,10860029.42532369,4682395.154676311,9385994.06,12910442.752182785,5861545.367817216,8379356.84,11779662.108122218,4979051.57187778,8358414.75,11754001.267160982,4962828.232839019,10032744.57,13510598.211046502,6554890.9289534995,8389474.12,11698705.369408425,5080242.870591574
381,7358866.73,10520388.940749574,4197344.5192504255,6530764.25,9503276.585696453,3558251.9143035463,8625085.36,11999166.524281947,5251004.195718052,7414145.84,10593226.78400552,4235064.895994479,7380362.8,10542475.975529278,4218249.624470722,8165890.94,11371371.871303104,4960410.008696897,7620630.2,10756245.22012052,4485015.179879481
391,8334310.44,11699750.04602205,4968870.833977952,7482390.14,10751153.88598799,4213626.39401201,9690340.42,13194858.385682773,6185822.454317228,8328886.08,11708954.199502626,4948817.960497374,8306222.51,11666183.975583635,4946261.044416364,9462430.39,13041322.869482527,5883537.910517475,8832597.04,12216359.48629015,5448834.593709848
401,9489295.8,13496430.402630758,5482161.197369244,8109270.08,11945872.886648364,4272667.273351636,10927560.83,15353349.380993798,6501772.279006201,9430212.92,13448173.711946156,5412252.128053844,9380883.89,13392939.988847524,5368827.791152478,10466583.66,14668098.70032699,6265068.619673011,9325999.28,13251110.575443435,5400887.984556564
411,9616137.37,13640631.121946566,5591643.618053433,7752172.34,11489311.800099723,4015032.8799002767,11407354.99,15895926.855836844,6918783.124163156,9533433.05,13564698.80646687,5502167.2935331315,9627813.12,13656904.07644713,5598722.163552868,10417764.96,14567111.978360895,6268417.941639108,9094030.18,12881678.700172447,5306381.659827554
421,10044959.64,13955600.222068159,6134319.057931842,8348707.37,12100361.940024959,4597052.799975041,12882538.11,17694331.152215682,8070745.067784319,9838233.79,13761889.822673395,5914577.757326602,9978477.3,13879543.230843898,6077411.369156104,10752290.4,15005942.775293455,6498638.024706546,9730262.08,13644858.102131113,5815666.057868888
431,9856997.25,14013723.17153418,5700271.328465819,7800178.67,11641978.229231976,3958379.110768023,11891264.43,16580722.753558772,7201806.106441228,9534840.71,13669514.227022164,5400167.192977839,9806888.98,13956981.232648645,5656796.727351357,10831384.05,15223120.663670275,6439647.436329727,9238408.41,13221140.21190569,5255676.60809431
441,10238562.98,14970595.54246673,5506530.417533271,7726734.12,11885648.70526557,3567819.53473443,11743930.98,16954308.692487173,6533553.267512828,9876545.31,14583625.100938644,5169465.519061357,10172563.34,14893799.555186862,5451327.124813138,10721535.0,15419914.478297926,6023155.521702073,8960186.67,13316649.20650931,4603724.133490688
451,10419547.72,15052688.125901176,5786407.314098826,8427866.04,12825515.641089838,4030216.43891016,12593942.6,18136396.194542162,7051489.005457839,10065798.8,14687635.43358189,5443962.166418111,10367202.38,14992692.355460066,5741712.404539936,10735621.15,15457867.363065958,6013374.936934043,9734755.05,14284814.752723603,5184695.347276399
461,10122875.06,14269323.05687512,5976427.063124881,8536796.96,12569505.039732466,4504088.880267536,12896210.74,18380293.07892865,7412128.401071349,9782074.66,13895863.302714642,5668286.017285358,10173620.46,14309748.882471371,6037492.03752863,10699501.6,15088149.585991628,6310853.614008371,9628892.15,14002876.539804503,5254907.760195497
471,10883785.63,15324007.032961402,6443564.227038599,8786668.29,13057605.406946365,4515731.173053634,13388377.15,18964135.732354786,7812618.567645215,10504895.96,14934734.672027793,6075057.247972208,10828477.05,15258562.555440126,6398391.5445598755,10797209.04,15395017.294098308,6199400.78590169,10052426.87,14486486.573243797,5618367.166756202
481,10911513.75,15492857.375891004,6330170.124108996,8534957.82,12932166.13172152,4137749.50827848,12101751.99,17137310.71784458,7066193.26215542,10536086.71,15086251.749358915,5985921.670641086,11053812.47,15641532.943594612,6466091.996405389,10526508.38,15145857.714103788,5907159.0458962135,10784630.47,15389566.402348366,6179694.537651635
491,11127732.74,15501608.192739304,6753857.287260697,8029939.02,11734043.544180902,4325834.495819097,11640580.89,16287237.61562793,6993924.164372073,10614703.05,14914924.539695207,6314481.560304794,11178099.31,15540290.980466925,6815907.639533077,10226537.92,14438628.021189388,6014447.818810612,11152420.67,15560291.099215806,6744550.240784194
501,11025690.9,15399632.966155022,6651748.833844978,7828497.02,10737996.915081754,4918997.124918246,11828769.23,16682273.19889095,6975265.26110905,10589107.49,14918518.47414158,6259696.505858422,11172843.0,15577800.482038595,6767885.517961405,9997515.82,14318665.625210328,5676366.014789673,10730669.24,15136961.131161314,6324377.348838688
511,11175782.65,15700691.265253924,6650874.034746078,8779363.59,12058749.107024506,5499978.072975494,12483412.47,17571386.07765482,7395438.862345181,10872870.18,15351523.086035924,6394217.273964075,11146357.43,15636292.898077095,6656421.9619229045,10686875.08,15244215.935438123,6129534.224561877,11125687.22,15906589.002195295,6344785.437804706
521,12139351.67,17229851.57618265,7048851.76381735,9586695.24,13364319.288237756,5809071.191762244,12763643.18,18114950.042836,7412336.317163999,11836343.27,16913683.149872903,6759003.390127097,12373955.51,17470245.562236387,7277665.457763612,11770118.52,16871099.432223663,6669137.607776337,11427352.33,16431933.198873606,6422771.4611263955
531,11613996.65,16319877.983609729,6908115.316390273,8395179.4,11461574.12199159,5328784.678008412,12066902.97,16937042.864672333,7196763.075327667,11201393.69,15893879.12701143,6508908.2529885685,11711615.89,16431963.91191525,6991267.86808475,9950235.24,13904750.675664503,5995719.804335497,10181061.06,14467995.64022165,5894126.479778351
541,11282624.82,16474914.99135251,6090334.648647491,8677305.4,12753922.250078157,4600688.549921843,11730901.1,16971000.91272322,6490801.287276777,10891694.24,16060109.658047419,5723278.821952581,11441144.96,16631986.115173537,6250303.8048264645,9332333.45,13360898.238377986,5303768.661622012,9811056.8,14504205.223597035,5117908.376402967
551,11980718.69,17082967.274249602,6878470.105750397,8670993.84,12063594.23797986,5278393.4420201415,11966663.44,17101220.67414493,6832106.205855068,11758800.42,16837814.5643716,6679786.275628397,12238752.14,17382018.663023792,7095485.616976209,10101674.58,14283169.243066879,5920179.916933121,10026668.37,14319039.048518468,5734297.691481532
561,10931353.05,15640305.172745138,6222400.927254862,9097275.16,12829666.860945228,5364883.459054773,10708928.31,15118135.344081607,6299721.275918394,10839284.71,15550356.526581239,6128212.893418764,11076367.78,15794767.075160624,6357968.484839374,9809827.01,13614539.970632918,6005114.049367081,9703199.31,13830148.42031474,5576250.199685262
571,12116194.68,17616808.27711028,6615581.082889722,8495584.14,11353289.27253193,5637879.007468072,10797199.69,14268122.863281693,7326276.516718307,11824947.32,17302833.16404896,6347061.475951041,12112814.21,17605771.48386596,6619856.9361340385,10369577.33,14035454.017475028,6703700.6425249735,9223258.52,12484895.056222357,5961621.983777642
581,12069912.12,16935998.236926444,7203826.0030735545,8503649.55,11128835.968136542,5878463.131863459,11596330.26,16188268.186275769,7004392.3337242305,11970085.02,17038915.512908123,6901254.527091874,11917939.89,16770662.138309056,7065217.641690945,10265510.41,13769344.459231474,6761676.360768527,8973912.73,12322183.99706917,5625641.46293083
591,12783376.97,17972964.368670043,7593789.57132996,8245343.39,10848266.502882991,5642420.277117008,11341467.84,15313671.107278839,7369264.572721161,12599019.55,17842569.746199436,7355469.353800563,12672343.29,17912244.64568272,7432441.934317279,10597258.77,14113549.481235176,7080968.058764823,9243549.69,12654063.791071326,5833035.5889286725
601,11835813.33,16031303.284598317,7640323.375401683,8548899.27,11132124.863869669,5965673.67613033,11063051.24,14695840.834376447,7430261.645623554,11800998.7,16001393.768706419,7600603.63129358,11915962.5,16136660.19526381,7695264.8047361905,10574752.32,13960169.231328689,7189335.408671312,9153545.59,12132474.568107467,6174616.611892532
611,12827214.37,17700257.903529115,7954170.8364708815,9711415.38,12571698.846899498,6851131.913100504,12504402.48,17092600.16798728,7916204.792012723,12596290.04,17452884.143159673,7739695.936840326,12956416.39,17827283.34273904,8085549.437260963,11237409.85,15009587.511271205,7465232.188728794,10021233.32,13505510.934237305,6536955.7057626955
621,13027504.33,17356069.219733648,8698939.440266352,9811095.04,12854791.235735666,6767398.844264331,12861312.36,17462800.29899308,8259824.421006916,12814261.23,17139345.876705717,8489176.583294284,13331319.77,17688265.44964714,8974374.09035286,11935825.51,15563387.810903389,8308263.209096611,10669083.33,13984040.665647654,7354125.994352346
631,13030063.17,17294764.58954845,8765361.75045155,10578069.53,14122465.766879313,7033673.293120687,13263809.25,17766374.169394538,8761244.33060546,12759322.31,17062198.905004557,8456445.714995444,13081984.13,17354961.62082548,8809006.639174521,11411007.06,14918117.156014686,7903896.963985315,10250041.88,13551329.75389055,6948754.006109452
641,12878626.65,16930711.249971528,8826542.050028473,10204808.41,13634976.48481298,6774640.33518702,14015994.78,19163683.679787926,8868305.880212072,12614097.63,16656159.957307458,8572035.302692544,12995521.62,17048575.56386628,8942467.676133718,11290727.68,14729946.988930488,7851508.371069511,11304910.13,14807871.403611898,7801948.856388104
651,12015228.28,15752785.420627441,8277671.139372557,10151072.82,13313369.242030201,6988776.397969799,12206403.54,16099570.041316062,8313237.038683936,11630084.44,15325445.50461844,7934723.37538156,12249337.87,16006230.644585297,8492445.095414702,10258247.55,13417660.837818244,7098834.262181757,10697533.15,14057920.383500509,7337145.916499493
661,12472343.26,16501865.537498115,8442820.982501885,10423697.37,14049422.235063873,6797972.504936125,13190866.87,17524068.192722246,8857665.54727775,12441208.15,16469081.082163889,8413335.217836112,12679724.83,16716254.595563136,8643195.064436864,11274129.45,14864098.226149876,7684160.673850123,10912440.72,14617278.892376304,7207602.547623698
671,12550799.97,16566365.53084353,8535234.409156471,9170037.82,12292266.085427657,6047809.554572345,12978749.05,16861442.46879491,9096055.631205093,12360394.89,16323584.995336154,8397204.784663847,12623107.11,16599848.48456726,8646365.735432738,10120529.96,13313050.934129428,6928008.985870574,10550825.08,14068598.909920484,7033051.250079517
681,11495921.0,15230464.248876946,7761377.751123054,8905564.88,12091201.349821355,5719928.410178647,12005023.31,15851791.87283785,8158254.74716215,11584295.13,15339529.538176917,7829060.721823086,11752758.0,15504315.90831973,8001200.091680271,9297408.05,12428482.460953068,6166333.639046933,9773658.31,13081387.5230151,6465929.0969849
691,11805496.86,15507070.233484227,8103923.4865157725,7957032.95,10840689.202220283,5073376.697779717,11830679.96,15577893.365967982,8083466.55403202,11698664.1,15381791.930329874,8015536.269670125,12125236.3,15845176.704086345,8405295.895913657,8828922.5,11838231.477466175,5819613.522533825,9779465.25,13146724.804210607,6412205.695789394
701,11309366.16,14680852.669265008,7937879.650734993,7441609.17,10069493.248938397,4813725.091061603,11593483.16,15052779.137374733,8134187.182625268,11147413.04,14411664.001474388,7883162.07852561,11511586.11,14869391.184607947,8153781.035392052,9095658.89,11909789.883930044,6281527.896069957,9411186.96,12457272.980660222,6365100.93933978
711,11555249.78,14916816.086192563,8193683.4738074355,7858015.13,10572787.467274748,5143242.792725251,11869078.37,15316265.18005614,8421891.559943859,11251162.69,14565403.127623659,7936922.252376339,11730162.01,15081608.685367623,8378715.334632376,9514060.55,12606798.007000472,6421323.09299953,9708177.15,12867474.88883419,6548879.411165811
721,12397901.44,16146903.220263794,8648899.659736205,8464010.57,11616141.045262676,5311880.094737325,12169139.25,15711027.264452644,8627251.235547356,12033929.58,15697560.193825953,8370298.9661740465,12602087.2,16361402.31707662,8842772.082923379,10171744.25,13527993.973626407,6815494.526373593,10300056.53,13745285.515437873,6854827.544562126
731,11954512.31,15596534.870308489,8312489.7496915115,8184347.08,11031993.972878734,5336700.1871212665,12430174.2,16021150.763439227,8839197.636560772,11724359.29,15324583.314917665,8124135.265082332,12470115.79,16184310.559377,8755921.020622998,9880066.09,13038353.794335382,6721778.385664618,10706139.12,14098308.917882156,7313969.322117843
741,11250214.89,14801826.778153758,7698603.001846243,8762325.12,11889228.175915979,5635422.064084019,11197524.33,14823131.104682289,7571917.555317711,11020957.99,14523613.663452774,7518302.316547226,11448008.77,14979730.140056692,7916287.399943306,9055711.47,12092853.17627089,6018569.763729112,10340447.12,13818738.910452442,6862155.329547556
751,10668936.1,13908289.200756399,7429582.9992436,8490025.24,11275299.098114418,5704751.381885583,11189664.8,14629733.022068907,7749596.577931096,10581120.13,13809059.274588596,7353180.985411405,10640941.07,13836903.39041208,7444978.749587921,8623864.33,11431400.480138186,5816328.179861815,9797591.27,12959459.750339618,6635722.789660381
761,10226122.2,13440003.93849192,7012240.4615080785,8185007.9,10959061.521920161,5410954.278079839,10427194.32,13787161.062366933,7067227.577633067,10086224.94,13270001.641931336,6902448.2380686635,10231174.37,13436456.382086989,7025892.35791301,8836116.74,11769763.300572906,5902470.179427095,9502408.56,12527123.587796975,6477693.532203026
771,10973153.91,14208428.022243677,7737879.797756324,8076001.12,10793523.368591128,5358478.871408872,11347460.92,15177885.712647462,7517036.127352538,10671259.78,13870331.04354979,7472188.51645021,11021551.21,14238745.017104581,7804357.40289542,8854095.03,11815710.424787872,5892479.635212126,9736617.6,12770703.230355063,6702531.969644936
781,10393701.23,13350186.451154608,7437216.008845393,8197115.64,10808797.563219398,5585433.716780601,10676320.29,14100348.340455633,7252292.239544366,10082689.82,12997835.577738583,7167544.062261418,10549822.53,13509503.981484968,7590141.0785150295,9232578.05,12279138.401300848,6186017.698699153,9332732.85,12010924.6969038,6654541.003096199
791,10655045.1,13950722.132726684,7359368.067273315,7805662.67,10589891.664308254,5021433.675691745,11104833.67,14856792.490143571,7352874.84985643,10296377.11,13520622.417413417,7072131.802586581,10930519.6,14236468.807764933,7624570.392235067,8753129.88,11728566.112968259,5777693.647031743,9517038.77,12472576.12888088,6561501.411119119
801,10888369.58,14455680.588383343,7321058.571616658,8565714.71,11562976.914342118,5568452.505657883,11402060.57,15618485.053478606,7185636.086521394,10372214.68,13820275.784017181,6924153.575982818,11229254.03,14828281.60127592,7630226.458724079,8642874.08,11612812.43371321,5672935.726286789,9405870.58,12377578.031877577,6434163.128122423
811,10303610.62,13844560.607755672,6762660.632244326,8333467.01,11331845.202308988,5335088.817691011,11020365.24,15147746.496838175,6892983.983161825,9987085.08,13459367.145444658,6514803.0145553425,10452617.09,13981312.979273818,6923921.200726181,8701626.23,11791661.072243221,5611591.387756779,9323175.14,12370215.475829657,6276134.804170344
821,10383893.84,13647099.019933358,7120688.660066643,8280766.03,11051207.560295163,5510324.499704838,10553847.54,14053384.741573993,7054310.338426004,10340580.54,13548480.32554535,7132680.754454648,10343781.96,13593358.130112343,7094205.78988766,9021136.21,12000417.934550155,6041854.485449847,8829103.74,11632930.406537656,6025277.073462345
831,10222561.63,13479955.322314823,6965167.937685179,8411321.8,11214038.487875596,5608605.112124406,11655410.72,15608783.697857995,7702037.742142007,9920971.33,13083278.243087493,6758664.416912508,10074335.32,13269567.26941051,6879103.370589492,8844405.84,11673271.217439553,6015540.462560447,8840860.07,11568409.225384178,6113310.914615823
841,10999119.31,14533491.68484383,7464746.93515617,7811021.52,10538610.65604578,5083432.3839542195,11060004.03,14497774.948153045,7622233.111846955,10617827.87,14017593.90892449,7218061.831075508,10641265.22,14132998.436615104,7149532.0033848975,9547248.56,12603992.939483488,6490504.180516513,9038587.86,12083744.028802672,5993431.691197326
851,11800111.62,15649243.120200632,7950980.119799366,8635499.02,11562842.031276189,5708156.008723811,11172098.49,14577982.034544893,7766214.945455108,11214890.09,14925436.305126313,7504343.8748736875,11416704.48,15231958.251503952,7601450.708496049,9992605.45,13140472.149894197,6844738.750105803,9676744.19,12730180.544284645,6623307.835715353
